timestamp,cpu_usage_percent,gpu_usage_percent,memory_percent,disk_read,disk_write,past_cpu,past_gpu,past_memory,future_cpu,future_gpu,future_memory
1763425412.7528713,5.9,1,78.8,13675153,1686062,6.9,1.0,78.6,6.4,0,78.5
1763425417.7999647,6.4,0,78.5,13675153,1686097,5.9,1.0,78.8,4.0,0,78.5
1763425422.850557,4.0,0,78.5,13675153,1686260,6.4,0.0,78.5,5.6,1,78.5
1763425427.8906436,5.6,1,78.5,13675157,1686359,4.0,0.0,78.5,7.8,2,78.3
1763425432.9362316,7.8,2,78.3,13675174,1686465,5.6,1.0,78.5,3.9,0,78.3
1763425437.9813225,3.9,0,78.3,13675174,1686599,7.8,2.0,78.3,14.0,0,79.0
1763425443.036919,14.0,0,79.0,13676363,1686762,3.9,0.0,78.3,3.0,0,78.9
1763425448.0860143,3.0,0,78.9,13676363,1686877,14.0,0.0,79.0,9.4,0,79.1
1763425453.1346047,9.4,0,79.1,13676363,1687069,3.0,0.0,78.9,9.6,2,79.1
1763425458.2027183,9.6,2,79.1,13676363,1687193,9.4,0.0,79.1,7.6,1,79.2
1763425463.2443023,7.6,1,79.2,13676363,1687358,9.6,2.0,79.1,3.7,1,79.1
1763425468.2994046,3.7,1,79.1,13676363,1687395,7.6,1.0,79.2,9.8,1,79.0
1763425473.348996,9.8,1,79.0,13676363,1687630,3.7,1.0,79.1,9.6,3,79.3
1763425478.4000921,9.6,3,79.3,13676364,1687732,9.8,1.0,79.0,8.9,3,78.9
1763425483.4586926,8.9,3,78.9,13676370,1687821,9.6,3.0,79.3,4.2,0,78.9
1763425488.516795,4.2,0,78.9,13676381,1687963,8.9,3.0,78.9,3.8,0,78.5
1763425493.565385,3.8,0,78.5,13676381,1688025,4.2,0.0,78.9,1.4,0,78.5
1763425498.6154807,1.4,0,78.5,13676381,1688055,3.8,0.0,78.5,1.3,0,78.5
1763425503.6600676,1.3,0,78.5,13676381,1688086,1.4,0.0,78.5,1.2,0,78.5
1763425508.702156,1.2,0,78.5,13676381,1688203,1.3,0.0,78.5,8.6,0,78.5
1763425513.74374,8.6,0,78.5,13676391,1688290,1.2,0.0,78.5,2.8,0,78.4
1763425518.7828257,2.8,0,78.4,13676391,1688324,8.6,0.0,78.5,5.7,2,78.6
1763425523.8384223,5.7,2,78.6,13676391,1688446,2.8,0.0,78.4,9.7,7,78.7
1763425528.8965268,9.7,7,78.7,13676391,1688505,5.7,2.0,78.6,7.9,3,78.4
1763425533.9401128,7.9,3,78.4,13676392,1688531,9.7,7.0,78.7,7.5,3,78.5
